source_metrics,metrics_sha256,config_sha256,embedding_manifest_sha256,git_commit,stage,dataset,scheme,split_seed,key_seed,set_seed,test_identities,condition,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,identity_pairing_available
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_7,1,single_mlp,367,0.015625,0.15625,0.5243216646634615,0.48124999999999996,0.009375,0.0,0.0,0.040625,22,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_7,1,single_mlp,377,0.0375,0.146875,0.5392886117788461,0.4558092948717949,0.03125,0.003125,0.0,0.096875,24,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_7,1,single_mlp,387,0.01875,0.13125,0.5419491185897436,0.45941506410256405,0.0125,0.0,0.0,0.05625,24,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_7,10,mean_mlp,367,0.221875,0.61875,0.8809214743589744,0.20625000000000002,0.24375,0.04375,0.121875,0.33125,80,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_7,10,mean_mlp,377,0.278125,0.646875,0.882754907852564,0.21566506410256409,0.265625,0.0375,0.146875,0.415625,74,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_7,10,mean_mlp,387,0.209375,0.58125,0.8509001903044872,0.2343349358974359,0.1875,0.04375,0.109375,0.325,58,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_10,1,single_mlp,367,0.0125,0.134375,0.510567407852564,0.499238782051282,0.00625,0.0,0.0,0.03125,21,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_10,1,single_mlp,377,0.04375,0.13125,0.5143204126602564,0.49022435897435895,0.034375,0.003125,0.0,0.1125,20,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_10,1,single_mlp,387,0.034375,0.121875,0.521338641826923,0.48794070512820514,0.0125,0.0,0.0,0.096875,18,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_10,10,mean_mlp,367,0.040625,0.240625,0.5715166766826922,0.478125,0.0,0.0,0.0,0.10625,24,False
