dataset,split_seed,master_seed,policy,threshold,validation_fmr,tar,fmr,genuine_pairs,impostor_pairs
SCface,93089,92959,separated,0.6562500000000001,0.006346863468634686,0.29853479853479853,0.004249084249084249,546,13650
SCface,93089,92987,recurring,0.6562500000000001,0.005830258302583026,0.25457875457875456,0.0032234432234432234,546,13650
SCface,93089,92987,separated,0.6406250000000001,0.00996309963099631,0.4102564102564103,0.01076923076923077,546,13650
SCface,93089,92993,recurring,0.6562500000000001,0.007453874538745388,0.2948717948717948,0.0052747252747252765,546,13650
SCface,93089,92993,separated,0.6562500000000001,0.005830258302583026,0.3553113553113553,0.00586080586080586,546,13650
SCface,93089,93001,recurring,0.6562500000000001,0.005387453874538746,0.2673992673992674,0.004322344322344323,546,13650
SCface,93089,93001,separated,0.6406250000000001,0.00959409594095941,0.3644688644688644,0.011428571428571429,546,13650
SCface,93089,93047,recurring,0.6562500000000001,0.006715867158671587,0.30402930402930406,0.004542124542124541,546,13650
SCface,93089,93047,separated,0.6562500000000001,0.005535055350553505,0.27838827838827834,0.00783882783882784,546,13650
SCface,93089,93053,recurring,0.6406250000000001,0.00922509225092251,0.37179487179487175,0.010109890109890109,546,13650
SCface,93089,93053,separated,0.6406250000000001,0.00915129151291513,0.3736263736263737,0.011208791208791211,546,13650
SCface,93089,93059,recurring,0.6562500000000001,0.005313653136531365,0.3076923076923077,0.007106227106227105,546,13650
SCface,93089,93059,separated,0.6562500000000001,0.004870848708487085,0.2875457875457875,0.005787545787545788,546,13650
SCface,93089,93077,recurring,0.6562500000000001,0.007158671586715867,0.32051282051282054,0.004908424908424909,546,13650
SCface,93089,93077,separated,0.6562500000000001,0.006051660516605166,0.28021978021978017,0.004761904761904762,546,13650
