stage,dataset,split_seed,scheme,condition,exposures,model,seed,estimate,lower,upper,confidence,resamples,identity_clusters,margin,interval_within_margin,analysis
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,2,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,5,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,SCface,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,2.135044278125301e-18,-0.038461538461538464,0.07692307692307691,0.9,2000,26,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
