stage,dataset,scheme,split_seed,chance,condition,model,model_seeds,identity_clusters,gain,seed_sd,lower95,upper95,primary,signflip_p,holm_p
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_1,deepsets,3,30,-0.16944444444444445,0.025458753860865786,-0.28194444444444444,-0.06385416666666685,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_4,mean_mlp,3,30,0.5347222222222222,0.07184731753543092,0.38333333333333336,0.6722222222222223,True,0.0005,0.004
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_4,deepsets,3,30,0.425,0.043301270189221905,0.2972222222222222,0.5541666666666667,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_8,mean_mlp,3,30,0.4125,0.09279607271383368,0.2791666666666667,0.5458333333333333,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_8,deepsets,3,30,0.3013888888888889,0.013393959390267978,0.175,0.4222222222222222,False,,
bounded_validation,SCface,IoM-GRP,91831,0.038461538461538464,independent_unseen_keys,mean_mlp,3,26,0.0,0.0,0.0,0.0,False,,
bounded_validation,SCface,IoM-GRP,91831,0.038461538461538464,independent_unseen_keys,deepsets,3,26,0.0,0.0,0.0,0.0,False,,
bounded_validation,SCface,IoM-GRP,91831,0.038461538461538464,random_key_pool_1,mean_mlp,3,26,0.27403846153846156,0.020956244920868613,0.20032051282051283,0.35096153846153844,False,,
bounded_validation,SCface,IoM-GRP,91831,0.038461538461538464,random_key_pool_1,deepsets,3,26,0.07532051282051282,0.060112177350996956,-0.04811698717948718,0.19879807692307647,False,,
bounded_validation,SCface,IoM-GRP,91831,0.038461538461538464,random_key_pool_4,mean_mlp,3,26,0.16185897435897437,0.041450375501210134,0.052884615384615384,0.26766826923076903,True,0.002,0.006
bounded_validation,SCface,IoM-GRP,91831,0.038461538461538464,random_key_pool_4,deepsets,3,26,0.07211538461538461,0.012719958226272069,-0.02568108974358974,0.17147435897435898,False,,
