stage,dataset,scheme,split_seed,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,elapsed_seconds,oracle_top1
bounded_validation,MOBIO,PolyProtect,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,4f2842224a88e03a942f459ae8172600a971a1027cd17e0778e8727e0224cc3d,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,701,0.35833333333333334,0.65,0.8643767959770114,0.22579022988505748,0.24583333333333332,0.058333333333333334,0.2540625000000002,0.4583333333333333,68,0.5878379344940186,1.0
bounded_validation,MOBIO,PolyProtect,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,4f2842224a88e03a942f459ae8172600a971a1027cd17e0778e8727e0224cc3d,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,709,0.38333333333333336,0.7208333333333333,0.8692037835249042,0.22004310344827588,0.25416666666666665,0.09166666666666666,0.29583333333333334,0.4791666666666667,71,0.5994765758514404,1.0
bounded_validation,MOBIO,PolyProtect,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,4f2842224a88e03a942f459ae8172600a971a1027cd17e0778e8727e0224cc3d,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,719,0.325,0.7291666666666666,0.8715834530651341,0.2144396551724138,0.1875,0.016666666666666666,0.23333333333333334,0.42083333333333334,87,0.7000067234039307,1.0
bounded_validation,MOBIO,PolyProtect,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,4f2842224a88e03a942f459ae8172600a971a1027cd17e0778e8727e0224cc3d,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,701,0.8208333333333333,0.975,0.9833818247126437,0.07521551724137929,0.7333333333333333,0.24166666666666667,0.6958333333333333,0.9333333333333333,120,0.7596511840820312,1.0
bounded_validation,MOBIO,PolyProtect,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,4f2842224a88e03a942f459ae8172600a971a1027cd17e0778e8727e0224cc3d,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,709,0.7708333333333334,0.9875,0.9812422174329503,0.07873563218390807,0.6625,0.4666666666666667,0.6332291666666668,0.8876041666666661,120,0.771477222442627,1.0
bounded_validation,MOBIO,PolyProtect,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,4f2842224a88e03a942f459ae8172600a971a1027cd17e0778e8727e0224cc3d,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,719,0.7375,0.9541666666666667,0.9779465996168584,0.08793103448275863,0.65,0.17083333333333334,0.5875,0.8666666666666667,120,0.7746181488037109,1.0
bounded_validation,FEI,PolyProtect,92543,random_key_pool_4,40,0.025,92501,92507,79d1cfcac8075914c67cb3448595e29dd3a18107984040f04be4ba3896961609,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,701,0.465625,0.734375,0.9000771233974358,0.18133012820512823,0.403125,0.140625,0.378125,0.559375,72,0.737471342086792,1.0
bounded_validation,FEI,PolyProtect,92543,random_key_pool_4,40,0.025,92501,92507,79d1cfcac8075914c67cb3448595e29dd3a18107984040f04be4ba3896961609,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,709,0.440625,0.78125,0.912422125400641,0.15576923076923077,0.33125,0.115625,0.35,0.53125,74,0.7741613388061523,1.0
bounded_validation,FEI,PolyProtect,92543,random_key_pool_4,40,0.025,92501,92507,79d1cfcac8075914c67cb3448595e29dd3a18107984040f04be4ba3896961609,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,719,0.484375,0.80625,0.9196764823717948,0.1655849358974359,0.384375,0.109375,0.38742187500000014,0.578125,74,0.7863748073577881,1.0
bounded_validation,FEI,PolyProtect,92543,random_key_pool_4,40,0.025,92501,92507,79d1cfcac8075914c67cb3448595e29dd3a18107984040f04be4ba3896961609,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,701,0.896875,1.0,0.9947398337339743,0.0277644230769231,0.884375,0.503125,0.8125,0.96875,120,0.9650461673736572,1.0
bounded_validation,FEI,PolyProtect,92543,random_key_pool_4,40,0.025,92501,92507,79d1cfcac8075914c67cb3448595e29dd3a18107984040f04be4ba3896961609,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,709,0.8625,0.98125,0.9927811999198718,0.03485576923076925,0.871875,0.603125,0.75625,0.946875,120,0.969855546951294,1.0
bounded_validation,FEI,PolyProtect,92543,random_key_pool_4,40,0.025,92501,92507,79d1cfcac8075914c67cb3448595e29dd3a18107984040f04be4ba3896961609,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,719,0.871875,0.975,0.988750500801282,0.044350961538461534,0.825,0.528125,0.75,0.971875,120,0.972435712814331,1.0
bounded_validation,MOBIO,IoM-GRP,92531,independent_unseen_keys,30,0.03333333333333333,92501,92507,52035220079d420d004dab8e2aef9dc84d7a0d060173e334dd4547fb9f86a744,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,701,0.025,0.15833333333333333,0.5024970067049809,0.5,0.004166666666666667,0.0,0.0,0.0625,4,0.6238400936126709,1.0
bounded_validation,MOBIO,IoM-GRP,92531,independent_unseen_keys,30,0.03333333333333333,92501,92507,52035220079d420d004dab8e2aef9dc84d7a0d060173e334dd4547fb9f86a744,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,709,0.020833333333333332,0.15833333333333333,0.518860153256705,0.48757183908045976,0.008333333333333333,0.0,0.0,0.0625,3,0.625767707824707,1.0
bounded_validation,MOBIO,IoM-GRP,92531,independent_unseen_keys,30,0.03333333333333333,92501,92507,52035220079d420d004dab8e2aef9dc84d7a0d060173e334dd4547fb9f86a744,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,719,0.03333333333333333,0.14583333333333334,0.4954058908045977,0.5000718390804597,0.025,0.0,0.0,0.0875,4,0.629493236541748,1.0
bounded_validation,MOBIO,IoM-GRP,92531,independent_unseen_keys,30,0.03333333333333333,92501,92507,52035220079d420d004dab8e2aef9dc84d7a0d060173e334dd4547fb9f86a744,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,701,0.03333333333333333,0.1375,0.4908423132183908,0.5000718390804597,0.029166666666666667,0.0,0.0,0.1,6,1.0796852111816406,1.0
bounded_validation,MOBIO,IoM-GRP,92531,independent_unseen_keys,30,0.03333333333333333,92501,92507,52035220079d420d004dab8e2aef9dc84d7a0d060173e334dd4547fb9f86a744,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,709,0.03333333333333333,0.175,0.5077352729885057,0.4866379310344828,0.0,0.0,0.0,0.1,7,0.9710006713867188,1.0
